Oseba,Transport,Datum,Ocena
false,4,04/05/2021,2
true,3,14/05/2020,7
true,2,03/01/2021,1
true,1,29/06/2020,2
false,1,24/08/2020,6
false,2,01/03/2021,1
true,3,17/05/2020,6
false,3,04/04/2021,8
true,1,28/04/2021,7
true,3,22/05/2020,3
true,3,23/11/2020,5
true,3,26/07/2020,4
true,2,09/01/2021,4
true,3,18/03/2021,1
true,1,15/05/2020,5
true,1,30/07/2020,3
true,3,22/04/2021,8
true,2,22/12/2020,4
false,2,07/08/2020,6
true,3,24/11/2020,4
true,4,10/06/2020,6
false,3,05/07/2020,3
true,4,16/03/2021,8
false,3,11/03/2021,5
false,4,23/04/2021,1
false,1,27/06/2020,7
true,2,14/09/2020,10
false,1,05/01/2021,10
true,4,24/08/2020,1
false,4,22/06/2020,6
false,3,27/04/2021,9
true,4,25/12/2020,10
true,3,28/11/2020,2
true,1,04/02/2021,1
true,3,26/12/2020,3
true,3,23/01/2021,7
true,1,13/10/2020,3
true,2,27/01/2021,1
true,1,05/08/2020,8
true,3,06/07/2020,5
false,1,22/08/2020,1
true,1,07/03/2021,10
true,3,15/06/2020,3
true,1,30/05/2020,8
true,4,11/03/2021,6
true,1,19/11/2020,1
false,2,01/04/2021,3
false,4,03/08/2020,1
false,4,03/11/2020,1
false,3,05/10/2020,1
true,3,01/04/2021,5
true,2,03/03/2021,7
false,4,01/03/2021,8
false,2,07/01/2021,4
true,4,27/12/2020,6
false,2,19/08/2020,8
false,3,23/02/2021,1
false,4,06/01/2021,10
true,3,28/05/2020,3
false,1,24/05/2020,4
true,4,06/10/2020,3
false,3,02/02/2021,8
false,2,15/05/2020,7
false,2,10/09/2020,7
false,2,20/03/2021,5
true,1,12/09/2020,2
true,1,04/04/2021,7
false,3,07/02/2021,2
false,1,27/07/2020,5
false,2,05/07/2020,2
false,4,25/11/2020,3
true,2,02/10/2020,2
false,4,11/05/2020,3
false,2,18/01/2021,2
true,2,09/04/2021,4
true,4,01/01/2021,3
false,2,31/03/2021,2
true,3,22/09/2020,2
false,4,18/07/2020,3
false,1,16/11/2020,10
false,1,04/05/2021,10
false,4,27/03/2021,9
false,1,08/08/2020,8
false,3,06/09/2020,7
false,3,28/02/2021,3
false,4,22/02/2021,8
true,2,01/10/2020,8
false,2,14/07/2020,5
true,3,29/04/2021,3
false,3,02/10/2020,3
false,2,21/10/2020,2
false,2,07/03/2021,8
false,2,29/05/2020,4
true,4,07/06/2020,3
false,4,06/04/2021,1
true,2,17/06/2020,7
true,1,02/01/2021,9
true,2,02/02/2021,5
false,1,31/01/2021,4
true,4,20/06/2020,6
false,3,25/01/2021,9
false,4,31/10/2020,7
true,4,12/04/2021,10
true,2,13/11/2020,3
false,2,09/07/2020,1
true,3,15/04/2021,2
false,4,23/01/2021,10
false,1,26/08/2020,9
false,1,23/07/2020,2
true,4,11/05/2020,3
true,1,17/07/2020,2
false,4,28/02/2021,1
false,1,14/04/2021,8
false,1,06/06/2020,8
false,1,09/07/2020,4
true,2,26/11/2020,9
false,1,16/10/2020,10
true,2,24/11/2020,7
true,4,30/01/2021,8
false,3,04/02/2021,1
true,4,10/09/2020,6
false,2,08/08/2020,6
false,4,17/09/2020,7
false,2,11/08/2020,3
false,3,09/08/2020,3
true,2,14/05/2020,2
true,1,05/05/2021,9
false,4,24/11/2020,1
false,3,09/08/2020,8
true,3,30/05/2020,9
true,4,17/04/2021,3
true,2,01/11/2020,4
false,4,18/09/2020,3
false,3,06/06/2020,9
false,1,01/06/2020,2
false,1,22/12/2020,2
false,3,26/05/2020,8
false,3,18/06/2020,6
true,2,28/02/2021,3
false,4,04/09/2020,1
true,3,18/11/2020,6
true,2,29/08/2020,1
true,2,08/04/2021,1
true,4,05/01/2021,1
true,2,12/06/2020,2
false,1,28/04/2021,1
true,3,26/11/2020,6
true,2,20/01/2021,1
true,4,09/03/2021,5
true,1,03/04/2021,2
true,4,11/07/2020,1
true,2,01/12/2020,9
false,2,18/12/2020,8
true,1,02/12/2020,7
false,2,30/07/2020,8
false,3,28/11/2020,9
false,3,11/04/2021,1
false,4,03/12/2020,3
true,3,24/09/2020,4
true,1,04/06/2020,2
true,3,15/09/2020,10
false,2,09/03/2021,10
true,3,31/01/2021,5
false,2,30/11/2020,8
true,1,10/02/2021,1
true,2,07/07/2020,10
true,4,19/10/2020,1
true,4,04/08/2020,6
false,2,27/12/2020,1
false,1,24/05/2020,7
false,2,06/11/2020,9
true,2,18/09/2020,4
false,1,13/07/2020,10
false,4,15/10/2020,8
true,2,01/04/2021,10
true,3,15/04/2021,9
false,4,10/03/2021,1
false,1,03/11/2020,10
true,2,18/04/2021,7
false,1,10/05/2020,2
true,1,27/08/2020,1
false,4,21/04/2021,6
false,2,18/10/2020,4
false,2,11/02/2021,3
false,1,14/04/2021,10
true,1,25/05/2020,7
true,1,05/03/2021,3
false,4,10/06/2020,6
false,4,10/10/2020,9
false,4,16/08/2020,4
false,2,24/05/2020,10
false,4,16/12/2020,8
true,1,24/03/2021,7
false,3,10/12/2020,3
false,4,02/07/2020,3
false,1,14/06/2020,1
true,1,05/08/2020,10
true,1,18/05/2020,4
true,2,12/07/2020,9
true,3,18/02/2021,8
true,4,10/04/2021,1
false,4,18/04/2021,2
true,2,28/02/2021,4
true,3,13/01/2021,5
true,3,15/03/2021,1
false,4,28/10/2020,2
false,3,11/09/2020,4
true,4,17/02/2021,7
false,3,24/01/2021,8
true,3,30/07/2020,2
true,1,07/04/2021,9
false,1,23/04/2021,9
true,3,10/02/2021,2
true,2,06/08/2020,9
true,1,31/01/2021,4
true,2,16/09/2020,5
false,1,29/11/2020,6
true,2,03/11/2020,4
false,1,28/06/2020,3
false,2,24/08/2020,1
false,4,06/08/2020,2
true,2,13/07/2020,8
true,3,16/09/2020,4
true,3,29/12/2020,7
true,4,26/02/2021,7
false,3,26/07/2020,8
true,2,16/12/2020,5
true,4,23/11/2020,8
true,4,07/09/2020,2
true,3,25/11/2020,9
true,4,26/01/2021,3
false,2,30/09/2020,3
true,3,16/03/2021,2
true,1,02/05/2021,10
false,2,22/01/2021,1
true,2,21/07/2020,10
false,2,12/05/2020,6
false,1,02/05/2021,8
false,4,07/06/2020,2
false,4,02/08/2020,7
false,2,28/06/2020,3
true,1,16/06/2020,9
false,1,29/03/2021,3
true,3,03/06/2020,4
false,2,17/10/2020,5
true,1,08/05/2020,9
true,4,23/10/2020,5
false,1,25/08/2020,10
false,1,23/04/2021,6
true,1,06/05/2020,8
true,2,18/12/2020,6
true,3,08/07/2020,5
false,2,29/01/2021,4
false,2,16/10/2020,1
false,3,01/09/2020,5
false,2,15/07/2020,7
false,4,14/11/2020,4
false,1,22/05/2020,5
true,4,09/10/2020,1
false,4,12/08/2020,8
false,3,13/10/2020,3
false,3,21/03/2021,5
true,1,27/12/2020,2
false,1,11/04/2021,6
false,3,28/12/2020,10
true,2,05/12/2020,3
false,1,06/02/2021,3
false,1,13/04/2021,8
true,4,02/08/2020,6
true,1,18/09/2020,9
false,3,19/02/2021,3
false,2,03/07/2020,4
true,4,02/11/2020,1
true,2,14/05/2020,7
false,3,13/11/2020,6
false,4,07/11/2020,3
true,2,29/10/2020,8
false,2,15/11/2020,10
true,4,14/03/2021,7
true,3,01/09/2020,7
true,1,14/06/2020,1
true,3,28/01/2021,5
true,2,01/08/2020,4
true,3,03/11/2020,8
false,3,14/02/2021,6
true,3,29/05/2020,4
true,3,22/03/2021,3
true,1,12/07/2020,1
false,4,04/02/2021,5
false,1,13/05/2020,4
false,3,03/01/2021,8
false,2,14/06/2020,6
true,2,28/03/2021,2
true,3,17/04/2021,7
true,2,08/05/2020,9
false,1,12/01/2021,4
false,3,05/09/2020,4
false,1,19/12/2020,8
true,2,23/09/2020,1
true,2,17/03/2021,3
true,4,06/11/2020,1
true,1,02/03/2021,7
true,4,19/08/2020,2
false,1,02/03/2021,9
false,4,28/09/2020,2
false,2,14/06/2020,1
false,2,07/03/2021,7
true,4,25/12/2020,6
true,3,19/10/2020,7
false,3,13/01/2021,5
true,4,17/01/2021,9
true,2,07/02/2021,6
true,3,14/11/2020,7
false,3,25/09/2020,1
false,3,31/01/2021,6
false,4,07/05/2020,7
true,2,18/10/2020,9
true,1,11/08/2020,7
true,3,03/11/2020,6
false,2,05/09/2020,4
true,1,19/11/2020,1
false,2,08/07/2020,2
true,3,02/11/2020,1
false,2,20/08/2020,7
false,4,31/03/2021,2
true,4,01/01/2021,8
false,2,07/06/2020,3
false,3,18/03/2021,9
false,2,14/05/2020,8
true,3,09/10/2020,3
true,4,20/03/2021,3
true,2,02/08/2020,2
false,1,01/10/2020,4
true,3,17/09/2020,4
true,2,08/05/2020,1
false,4,07/05/2020,8
false,4,28/07/2020,7
false,2,21/06/2020,6
true,2,11/09/2020,2
true,2,08/05/2020,3
false,2,30/03/2021,6
false,2,12/06/2020,2
true,2,10/02/2021,1
false,1,01/06/2020,4
false,1,20/10/2020,8
true,3,02/04/2021,5
false,3,05/11/2020,8
true,2,26/12/2020,4
true,3,15/04/2021,6
true,3,07/08/2020,1
false,4,01/11/2020,8
false,4,02/07/2020,3
false,2,26/11/2020,4
true,1,14/10/2020,9
false,4,28/11/2020,6
true,1,30/12/2020,7
false,1,21/04/2021,6
true,1,25/02/2021,8
true,2,16/02/2021,5
true,4,11/12/2020,7
false,4,17/09/2020,9
true,3,14/03/2021,3
false,3,18/01/2021,9
true,4,19/11/2020,8
false,3,09/08/2020,1
false,3,27/07/2020,6
true,3,10/09/2020,9
true,2,02/08/2020,8
true,2,09/08/2020,3
true,1,15/10/2020,5
true,3,18/06/2020,6
false,2,06/04/2021,8
false,2,14/10/2020,6
false,3,28/04/2021,2
false,4,05/05/2021,3
true,1,07/09/2020,5
false,3,10/02/2021,3
false,4,22/11/2020,9
false,3,06/06/2020,3
false,4,22/06/2020,7
true,3,14/11/2020,2
true,4,25/02/2021,6
true,1,18/07/2020,10
true,3,05/06/2020,9
false,4,29/10/2020,1
true,4,02/10/2020,6
false,4,21/10/2020,8
false,2,26/05/2020,4
false,2,12/07/2020,5
false,3,20/07/2020,10
true,2,20/02/2021,7
true,4,02/06/2020,4
true,1,19/05/2020,10
true,1,11/11/2020,9
false,3,10/07/2020,7
false,3,28/09/2020,10
true,1,17/08/2020,2
false,3,10/04/2021,7
false,4,01/06/2020,4
false,4,20/05/2020,3
false,3,10/07/2020,9
false,2,22/09/2020,7
false,1,20/04/2021,4
false,2,03/06/2020,2
true,4,25/12/2020,4
false,1,14/12/2020,2
true,1,18/09/2020,4
false,3,07/04/2021,8
false,3,14/04/2021,8
true,2,13/12/2020,1
false,3,02/01/2021,10
false,4,23/04/2021,10
true,3,20/07/2020,4
false,4,07/07/2020,10
true,3,12/03/2021,7
false,4,25/02/2021,1
false,2,10/01/2021,7
false,4,11/03/2021,4
true,2,23/03/2021,10
false,3,07/06/2020,10
true,3,09/04/2021,3
true,1,24/12/2020,9
false,3,16/02/2021,9
true,2,03/03/2021,9
true,2,07/04/2021,10
true,1,05/08/2020,8
true,4,23/10/2020,2
false,2,07/12/2020,10
true,4,12/07/2020,8
true,2,08/09/2020,6
true,4,10/02/2021,10
false,1,28/04/2021,1
true,1,02/03/2021,2
false,4,02/09/2020,4
false,1,07/08/2020,8
false,3,22/04/2021,1
false,4,14/02/2021,8
true,1,19/11/2020,9
true,1,02/01/2021,4
false,4,28/07/2020,1
true,3,18/01/2021,9
true,3,12/07/2020,4
true,4,26/07/2020,1
true,1,01/09/2020,3
true,2,18/10/2020,9
false,4,20/12/2020,2
true,2,05/11/2020,6
false,3,04/05/2021,3
true,4,03/11/2020,3
false,1,25/09/2020,7
false,1,29/10/2020,5
true,4,15/10/2020,1
false,1,04/08/2020,9
false,4,02/05/2021,4
true,3,26/08/2020,7
false,3,04/10/2020,7
false,2,20/07/2020,8
false,4,21/03/2021,10
true,2,19/08/2020,8
false,1,21/02/2021,7
true,3,09/03/2021,10
false,3,19/02/2021,4
false,1,14/09/2020,8
false,3,30/08/2020,7
false,1,20/02/2021,8
true,1,16/09/2020,6
true,4,26/12/2020,2
true,1,05/12/2020,5
false,4,13/02/2021,6
false,2,27/11/2020,2
false,3,02/01/2021,9
false,4,23/10/2020,8
true,4,12/03/2021,5
false,4,28/07/2020,9
true,4,26/03/2021,9
false,3,10/04/2021,7
true,3,22/06/2020,8
false,2,28/12/2020,3
false,1,14/03/2021,5
true,4,12/04/2021,1
true,1,27/05/2020,8
false,3,05/01/2021,7
false,3,19/01/2021,5
false,2,03/10/2020,6
false,3,18/09/2020,3
false,3,11/01/2021,9
true,2,12/08/2020,2
true,4,03/10/2020,5
false,3,13/07/2020,8
false,4,18/02/2021,9
true,3,18/09/2020,7
true,4,23/03/2021,2
true,1,08/02/2021,1
true,1,14/05/2020,1
false,4,24/09/2020,3
false,3,24/01/2021,2
false,2,13/04/2021,6
true,4,15/04/2021,5
true,3,16/08/2020,7
true,3,17/12/2020,5
false,1,19/06/2020,6
false,1,28/01/2021,4
true,3,15/02/2021,8
false,1,22/04/2021,9
false,1,12/12/2020,8
false,3,09/01/2021,1
false,4,27/01/2021,4
false,3,09/01/2021,5
true,1,22/04/2021,1
true,3,16/03/2021,3
false,2,13/01/2021,4
false,4,28/03/2021,2
true,1,10/04/2021,9
true,3,23/12/2020,7
false,1,13/05/2020,7
true,2,08/02/2021,6
false,1,23/05/2020,9
true,3,16/02/2021,1
true,2,27/10/2020,1
true,2,11/04/2021,9
false,3,19/06/2020,2
true,3,04/12/2020,1
true,4,15/05/2020,3
false,4,21/08/2020,6
true,1,10/07/2020,6
true,2,27/09/2020,6
false,4,28/10/2020,3
false,4,06/08/2020,3
false,1,06/12/2020,8
true,1,19/10/2020,8
true,4,08/12/2020,2
false,3,02/06/2020,5
false,3,24/04/2021,5
false,4,17/06/2020,9
true,1,16/06/2020,4
false,4,23/05/2020,8
true,4,14/05/2020,2
true,4,03/06/2020,10
true,2,24/05/2020,9
true,1,05/04/2021,4
false,4,05/03/2021,7
false,1,07/08/2020,5
true,4,24/12/2020,8
true,4,28/03/2021,6
true,2,21/01/2021,10
false,2,22/04/2021,3
true,3,05/09/2020,3
false,3,17/10/2020,9
true,1,21/06/2020,4
false,1,29/08/2020,9
true,4,14/02/2021,5
true,2,08/11/2020,10
true,3,31/01/2021,2
true,3,10/11/2020,1
false,3,08/12/2020,6
true,3,03/06/2020,9
true,1,20/01/2021,8
false,2,22/12/2020,3
false,3,03/11/2020,10
true,3,03/10/2020,2
true,1,12/03/2021,8
false,3,30/01/2021,1
true,4,04/04/2021,5
false,2,13/09/2020,8
false,1,11/10/2020,5
false,3,23/02/2021,6
false,1,23/05/2020,2
false,4,16/10/2020,7
true,2,15/04/2021,5
true,1,23/11/2020,8
true,4,07/09/2020,3
false,4,02/02/2021,10
false,1,03/03/2021,10
true,3,02/09/2020,9
true,3,23/06/2020,10
false,4,05/08/2020,7
false,4,20/10/2020,6
false,1,25/10/2020,2
false,1,06/10/2020,10
true,2,03/10/2020,1
true,3,06/09/2020,8
true,3,03/05/2021,9
false,3,14/06/2020,6
true,3,20/08/2020,9
true,1,31/01/2021,1
false,1,28/08/2020,6
false,4,04/06/2020,1
true,2,26/04/2021,2
false,3,28/10/2020,5
false,1,11/08/2020,10
true,4,26/03/2021,10
false,2,11/01/2021,2
true,2,01/08/2020,8
true,4,01/06/2020,5
false,3,27/07/2020,4
false,3,21/12/2020,7
true,1,08/12/2020,1
true,2,11/08/2020,1
true,4,27/06/2020,5
true,3,26/08/2020,3
false,3,19/03/2021,6
true,2,16/08/2020,9
true,3,23/08/2020,10
true,2,25/02/2021,8
true,2,17/08/2020,5
false,2,05/12/2020,3
true,4,09/11/2020,6
true,4,02/06/2020,2
true,2,13/05/2020,1
false,4,01/01/2021,2
true,1,08/08/2020,7
true,1,14/03/2021,5
true,1,08/12/2020,6
true,1,13/10/2020,1
true,2,12/09/2020,10
false,1,27/06/2020,5
false,1,25/11/2020,2
true,2,16/03/2021,1
true,1,16/10/2020,10
false,3,19/12/2020,2
false,3,07/05/2020,4
false,4,30/11/2020,10
false,4,06/02/2021,2
false,4,28/03/2021,6
false,4,05/08/2020,5
true,1,18/02/2021,8
true,4,13/02/2021,8
false,2,10/10/2020,3
true,1,14/12/2020,4
false,3,22/10/2020,5
false,1,05/01/2021,9
true,4,17/06/2020,10
false,3,10/08/2020,8
true,2,30/07/2020,6
false,4,24/10/2020,7
true,2,18/02/2021,8
true,3,23/04/2021,8
false,3,17/01/2021,4
true,1,23/11/2020,9
false,1,31/08/2020,5
false,1,12/08/2020,1
true,2,12/06/2020,10
true,2,30/03/2021,1
false,4,31/07/2020,4
false,2,08/10/2020,2
true,3,30/10/2020,3
true,1,21/08/2020,6
true,1,29/04/2021,9
false,3,10/11/2020,9
true,4,04/09/2020,10
true,4,05/01/2021,5
false,1,28/10/2020,3
true,4,22/10/2020,10
true,3,04/10/2020,1
false,1,08/04/2021,1
false,4,10/09/2020,6
false,4,14/02/2021,8
false,2,01/02/2021,8
true,4,03/02/2021,3
true,1,21/10/2020,2
false,2,06/03/2021,7
false,3,13/12/2020,9
false,2,10/06/2020,9
true,1,28/03/2021,9
false,4,26/12/2020,5
false,3,02/09/2020,4
false,1,01/11/2020,1
false,4,11/07/2020,8
false,4,09/08/2020,10
true,1,28/04/2021,10
false,1,26/08/2020,4
false,2,07/03/2021,10
true,2,15/10/2020,5
true,3,24/05/2020,7
false,3,22/02/2021,6
true,1,04/02/2021,2
false,4,27/02/2021,1
true,4,24/04/2021,9
false,1,06/04/2021,4
true,1,12/01/2021,6
true,4,29/03/2021,9
false,4,16/03/2021,10
true,4,30/10/2020,1
true,1,03/01/2021,10
true,4,11/01/2021,8
true,2,06/11/2020,1
true,4,24/05/2020,2
false,3,01/05/2021,9
false,1,18/03/2021,3
true,4,22/06/2020,10
false,3,09/10/2020,3
false,2,17/12/2020,1
false,3,22/04/2021,3
false,3,12/07/2020,9
true,1,04/10/2020,6
true,3,17/09/2020,8
false,2,13/08/2020,7
true,3,07/02/2021,6
false,4,14/08/2020,2
true,4,01/11/2020,8
true,3,17/12/2020,9
true,4,25/03/2021,3
false,3,08/03/2021,1
false,3,30/01/2021,3
true,2,24/12/2020,3
false,3,14/04/2021,4
true,3,22/02/2021,7
false,4,01/04/2021,10
false,4,21/02/2021,9
true,4,10/05/2020,7
true,3,06/07/2020,10
true,1,03/01/2021,7
true,2,06/06/2020,7
false,1,02/06/2020,10
false,1,11/12/2020,7
true,2,11/05/2020,5
true,3,01/12/2020,2
true,4,31/10/2020,5
false,1,03/09/2020,4
false,4,11/07/2020,5
true,3,24/06/2020,7
false,1,06/01/2021,2
true,2,10/11/2020,4
false,4,20/07/2020,4
true,4,31/01/2021,2
true,2,29/11/2020,5
false,3,24/11/2020,2
false,4,28/08/2020,10
true,1,31/10/2020,3
false,3,08/06/2020,3
true,4,10/09/2020,5
false,3,26/09/2020,5
true,2,01/08/2020,1
true,1,19/10/2020,8
true,1,30/06/2020,3
false,2,09/04/2021,10
true,2,22/02/2021,5
false,1,02/04/2021,2
false,3,01/09/2020,8
false,1,07/05/2020,5
true,2,01/04/2021,3
false,2,01/08/2020,4
true,1,29/06/2020,1
true,1,05/07/2020,4
false,4,25/06/2020,5
false,3,11/02/2021,2
true,4,05/09/2020,9
false,1,30/03/2021,3
false,1,01/07/2020,2
false,2,10/03/2021,9
true,1,05/11/2020,5
true,4,03/11/2020,3
false,3,30/01/2021,6
true,4,19/06/2020,9
true,1,20/02/2021,1
false,1,06/05/2020,4
true,3,28/07/2020,2
false,4,28/04/2021,4
false,4,02/06/2020,9
true,2,10/03/2021,6
false,3,22/05/2020,7
false,4,20/02/2021,10
false,4,28/03/2021,9
true,3,19/03/2021,9
true,3,17/01/2021,9
false,2,09/06/2020,6
true,3,26/05/2020,7
true,4,17/09/2020,9
false,4,30/08/2020,1
true,2,20/04/2021,5
false,1,29/10/2020,1
false,4,22/08/2020,3
true,4,22/07/2020,7
false,4,28/09/2020,6
false,1,09/02/2021,9
true,4,30/09/2020,1
true,1,28/01/2021,9
true,1,28/03/2021,1
true,2,21/09/2020,10
true,3,27/03/2021,6
false,1,28/05/2020,6
false,1,28/11/2020,1
true,2,01/05/2021,7
true,2,09/01/2021,8
true,3,29/10/2020,5
false,2,25/03/2021,4
false,1,24/01/2021,2
true,2,22/08/2020,3
false,1,30/08/2020,3
false,2,28/06/2020,1
true,1,28/08/2020,10
true,1,16/09/2020,10
false,3,16/02/2021,5
true,3,05/05/2021,3
false,1,05/07/2020,1
true,3,01/03/2021,1
false,1,03/01/2021,2
false,1,13/12/2020,6
true,2,13/12/2020,3
true,2,02/05/2021,1
true,1,10/09/2020,9
true,1,15/06/2020,8
false,2,04/01/2021,8
true,4,12/03/2021,5
true,4,13/06/2020,8
true,4,15/09/2020,9
false,4,08/12/2020,7
false,4,11/03/2021,3
true,1,11/03/2021,10
true,4,29/04/2021,4
true,4,17/09/2020,4
true,2,06/11/2020,1
true,2,15/12/2020,2
false,2,23/03/2021,8
false,1,23/11/2020,4
true,2,26/06/2020,7
true,4,01/12/2020,10
true,1,25/03/2021,8
true,1,15/10/2020,10
true,4,25/10/2020,6
true,2,19/01/2021,6
false,1,18/06/2020,8
false,3,03/10/2020,6
true,1,01/11/2020,8
true,2,26/07/2020,7
true,4,04/09/2020,7
true,4,02/04/2021,6
false,3,09/06/2020,6
false,2,21/11/2020,5
false,1,10/04/2021,7
true,1,07/02/2021,3
false,3,09/02/2021,3
false,2,28/02/2021,3
false,2,28/03/2021,4
false,4,01/08/2020,7
true,1,19/08/2020,10
false,3,02/03/2021,7
true,2,16/01/2021,10
true,3,22/09/2020,7
true,2,05/06/2020,9
false,2,21/09/2020,7
true,3,30/07/2020,8
true,1,23/01/2021,10
